"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/colls/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/colls/list.csv?datainfo&rowcount&base_name=canis"
"Access Time","Fri 2017-03-24 06:32:50 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","canis"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.0404"
"Records Found","607"
"Records Returned","607"
"Records:"
"collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no"
"11803","col","","35.049999","32.716667","Tabun Cave Level C & D","","","1","Late Pleistocene","","0.126","0.0117","10604"
"13066","col","","-84.800003","34.200001","Ladd's Quarry","","Ladd's Lime Kiln","1","Pleistocene","","2.588","0.0117","10272"
"18036","col","","-101.900002","35.000000","Axtel","","UCMP V-5319","1","Late Hemphillian","","10.3","4.9","6209"
"18126","col","","-97.728897","42.821400","Devil's Nest Airstrip","","UNSM Kx-113","1","Late Hemphillian","","10.3","4.9","3510"
"18201","col","","-98.800003","42.700001","Honey Creek","","UNSM Ht-103","1","Hemphillian","","10.3","4.9","3510"
"18269","col","Ash Hollow","-100.500000","40.500000","Mitchell Creek","","","1","Clarendonian","Hemphillian","13.6","4.9","2673"
"18304","col","Ogallala","-101.400002","36.700001","Optima","","Guymon; OMNH V52; UCMP V-2902","1","Hemphillian","","10.3","4.9","1832"
"18320","col","","-85.791946","40.454445","Pipe Creek Sinkhole","","","1","Late Hemphillian","Blancan","10.3","1.8","6086"
"18359","col","","-97.846298","42.806801","Santee","","UNSM Kx-111","1","Late Hemphillian","","10.3","4.9","3510"
"18500","col","","-81.800003","27.900000","Achan Mine","","Bone Valley fauna","1","Miocene","","23.03","5.333","3774"
"18737","col","Rancho Viejo Beds","-100.666664","21.083332","Rancho El Ocote (Basal)","","GTO-2; TMM 41685; Arroyo de la Carreta","1","Late Hemphillian","","10.3","4.9","1175"
"18745","col","","-104.099998","20.200001","Tecolotlan (Hemphillian)","","","1","Hemphillian","","10.3","4.9","2596"
"18755","col","","-108.000000","28.799999","Yepomera","","UALP Y-39 = IGCU Ch-15; Rincon; CIT 276, 286","1","Late Hemphillian","","10.3","4.9","2245"
"18833","col","","-119.716110","45.840000","Boardman","","UO 2255","1","Hemphillian","","10.3","4.9","3110"
"18900","col","Panaca","-114.300003","37.799999","Golgotha Watermill Pothole Quarry","","Golgotha Hill; Spring Valley","1","Hemphillian","","10.3","4.9","2886"
"18939","col","Alkali Canyon","-120.199722","45.716946","Krebs Ranch 1","","Arlington 15; UO 2322","1","Hemphillian","","10.3","4.9","3110"
"18940","col","Alkali Canyon","-120.199722","45.716946","Krebs Ranch 2","","UO 2323; UWBM C0122 (Arlington 9), C0123 (Arlington 10), C0124 (Arlington 11)","1","Hemphillian","","10.3","4.9","3110"
"19445","col","Mt. Eden","-117.000000","33.900002","Mount Eden","","Eden Ledges; UCMP V-3269","1","Late Hemphillian","","10.3","4.9","1548"
"19473","col","Chamita","-107.000000","36.500000","Osbornoceros Quarry","","Leyden Quarry; Lyden Quarry; ESP. 251-535","1","Late Hemphillian","","10.3","4.9","3380"
"19514","col","Quiburis","-110.599998","32.500000","Redington","","","2","Late Hemphillian","","10.3","4.9","2005"
"19610","col","Bidahochi","-110.099998","35.799999","White Cone","","UALP 6","1","Late Hemphillian","","10.3","4.9","1024"
"19612","col","Big Sandy","-113.400002","34.700001","Wikieup","","Bird Bone Quarry; CIT 460; Clay Bank Quarry (= Grey's Ranch); Concretion Quarry; Horseshoe Quarry; Split Cliff Quarry; UALP 2; Ward's Prospect","1","Late Hemphillian","","10.3","4.9","2381"
"19617","col","","-112.400002","35.700001","Anita","","Val Verde Mine; UALP 7202","3","Blancan","Irvingtonian","4.9","0.3","1813"
"19624","col","St. David","-110.199997","32.000000","Mendevil Ranch","","UA loc. 12-0","1","Blancan","","4.9","1.8","2040"
"19625","col","","-110.199997","32.000000","Green Saddle","","UA loc. 12-1","1","Blancan","","4.9","1.8","2252"
"19636","col","","-110.199997","32.000000","Adobe Cabin","","UA loc. 47-7","1","Blancan","","4.9","1.8","2252"
"19638","col","","-110.199997","32.000000","McRae Wash","","UA loc. 52","1","Blancan","","4.9","1.8","2040"
"19647","col","St. David","-110.199997","32.000000","Johnson Pocket","","","1","Blancan","","4.9","1.8","2040"
"19656","col","","-109.599998","33.000000","111 Ranch (Lower)","","","2","Blancan","","4.9","1.8","1584"
"19657","col","","-109.599998","33.000000","111 Ranch (Middle)","","","1","Blancan","","4.9","1.8","1584"
"19658","col","","-109.599998","33.000000","111 Ranch (Upper)","","","1","Blancan","","4.9","1.8","1584"
"19668","col","","-122.199997","40.000000","Black Ranch","","Tehama","1","Blancan","","4.9","1.8","3007"
"19714","col","Temecula Arkose","-117.000000","33.900002","Radec","","LACM 1657; Radec A","1","Blancan","","4.9","1.8","1682"
"19751","col","","-82.099998","29.799999","Haile 12B","","","1","Blancan","","4.9","1.8","1961"
"19753","col","Tamiami","-82.449997","27.366667","APAC Shell Pit","","MacAsphalt Shell Pit; Newburn Pit; Warren Brothers Pit","1","Blancan","","4.9","1.8","2621"
"19758","col","","-82.599998","29.700001","Santa Fe River 1","","","1","Blancan","","4.9","1.8","3567"
"19805","col","Glenns Ferry","-114.900002","42.799999","Hagerman (DWT 540a)","","","1","Blancan","","4.9","1.8","1069"
"19807","col","Glenns Ferry","-114.900002","42.799999","Hagerman (DWT 543a)","","","1","Blancan","","4.9","1.8","1069"
"19812","col","Glenns Ferry","-114.900002","42.799999","Hagerman (UM-Ida 1-64)","","","1","Blancan","","4.9","1.8","1069"
"19815","col","Glenns Ferry","-114.900002","42.799999","Hagerman (UM-Ida 1a-65)","","","1","Blancan","","4.9","1.8","1896"
"19816","col","Glenns Ferry","-114.900002","42.799999","Hagerman (UM-Ida 2-64)","","","1","Blancan","","4.9","1.8","3787"
"19819","col","Glenns Ferry","-114.900002","42.799999","Hagerman (UM-Ida 3-64)","","","1","Blancan","","4.9","1.8","3787"
"19821","col","Glenns Ferry","-114.900002","42.799999","Hagerman (UM-Ida 3-67)","","","1","Blancan","","4.9","1.8","1069"
"19832","col","Glenns Ferry","-114.900002","42.799999","Hagerman (UM-Ida 11-67)","","","1","Blancan","","4.9","1.8","1069"
"19836","col","Glenns Ferry","-114.900002","42.799999","Hagerman (UM-Ida 19-65)","","","1","Blancan","","4.9","1.8","1069"
"19839","col","Glenns Ferry","-114.900002","42.799999","Hagerman (UM-Ida 21-66)","","","1","Blancan","","4.9","1.8","1069"
"19847","col","Glenns Ferry","-114.900002","42.799999","Hagerman (UM-Ida 33-64)","","","1","Blancan","","4.9","1.8","1069"
"19854","col","Glenns Ferry","-114.900002","42.799999","Hagerman (UM-Ida 46-64)","","","1","Blancan","","4.9","1.8","1069"
"19868","col","Glenns Ferry","-114.900002","42.799999","Hagerman (UM-Ida 70-65)","","","1","Blancan","","4.9","1.8","1069"
"19879","col","Glenns Ferry","-114.900002","42.799999","Hagerman (UM-Ida 85-65)","","","1","Blancan","","4.9","1.8","1069"
