"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.txt?datainfo&rowcount&base_name=canis&taxon_reso=species&limit=100"
"Access Time","Fri 2017-02-03 22:01:43 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","canis"
"","idreso","species"
"","timerule","major"
"","taxon_status","all"
"","limit","100"
"Elapsed Time","0.0168"
"Records Found","473"
"Records Returned","100"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"184924","occ","30185","","18126","Canis ferox","species","44840","","Canis ferox","species","44840","Late Hemphillian","","10.3","4.9","52058"
"186878","occ","","","18359","Canis cf. lepophagus","species","44856","","Canis lepophagus","species","44856","Late Hemphillian","","10.3","4.9","3510"
"188816","occ","","","18737","Canis n. sp. ferox","species","44840","","Canis ferox","species","44840","Late Hemphillian","","10.3","4.9","2596"
"188870","occ","","","18745","Canis cf. ferox","species","44840","","Canis ferox","species","44840","Hemphillian","","10.3","4.9","2596"
"192135","occ","30184","","19473","Canis ferox","species","44840","","Canis ferox","species","44840","Late Hemphillian","","10.3","4.9","52058"
"192926","occ","8376","","19617","Canis edwardii","species","44838","","Canis edwardii","species","44838","Blancan","Irvingtonian","4.9","0.3","2673"
"192927","occ","30222","","19617","Canis armbrusteri","species","44827","","Canis armbrusteri","species","44827","Blancan","Irvingtonian","4.9","0.3","52058"
"192928","occ","","","19617","Canis latrans ?","species","44854","","Canis latrans","species","44854","Blancan","Irvingtonian","4.9","0.3","1813"
"193271","occ","8462","","19656","Canis cf. latrans","species","44854","","Canis latrans","species","44854","Blancan","","4.9","1.8","6294"
"193272","occ","30218","","19656","Canis n. sp. thooides","species","301914","","Canis thooides","species","301914","Blancan","","4.9","1.8","52058"
"193288","occ","8467","","19657","Canis cf. latrans","species","44854","","Canis latrans","species","44854","Blancan","","4.9","1.8","6294"
"193323","occ","8475","","19658","Canis cf. latrans","species","44854","","Canis latrans","species","44854","Blancan","","4.9","1.8","6294"
"193373","occ","8495","","19668","Canis lepophagus","species","44856","","Canis lepophagus","species","44856","Blancan","","4.9","1.8","2673"
"193775","occ","","","19758","Canis cf. lepophagus","species","44856","","Canis lepophagus","species","44856","Blancan","","4.9","1.8","3567"
"193898","occ","","","19805","Canis lepophagus","species","44856","","Canis lepophagus","species","44856","Blancan","","4.9","1.8","1069"
"193901","occ","","","19807","Canis lepophagus","species","44856","","Canis lepophagus","species","44856","Blancan","","4.9","1.8","1069"
"193916","occ","","","19812","Canis lepophagus","species","44856","","Canis lepophagus","species","44856","Blancan","","4.9","1.8","1069"
"193936","occ","","","19815","Canis lepophagus","species","44856","","Canis lepophagus","species","44856","Blancan","","4.9","1.8","1069"
