"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=canis&show=coords"
"Access Time","Fri 2017-03-24 16:44:00 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","canis"
"","timerule","major"
"","taxon_status","all"
"","show","coords"
"Elapsed Time","0.025"
"Records Found","726"
"Records Returned","726"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","lng","lat"
"184924","occ","30185","","18126","Canis ferox","species","44840","","Canis ferox","species","44840","Late Hemphillian","","10.3","4.9","52058","-97.728897","42.821400"
"185469","occ","","","18201","""Canis"" sp.","genus","41198","","Canis","genus","41198","Hemphillian","","10.3","4.9","3510","-98.800003","42.700001"
"186572","occ","","","18320","cf. Canis sp.","genus","41198","","Canis","genus","41198","Late Hemphillian","Blancan","10.3","1.8","6086","-85.791946","40.454445"
"186878","occ","","","18359","Canis cf. lepophagus","species","44856","","Canis lepophagus","species","44856","Late Hemphillian","","10.3","4.9","3510","-97.846298","42.806801"
"188816","occ","","","18737","Canis n. sp. ferox","species","44840","","Canis ferox","species","44840","Late Hemphillian","","10.3","4.9","2596","-100.666664","21.083332"
"188870","occ","","","18745","Canis cf. ferox","species","44840","","Canis ferox","species","44840","Hemphillian","","10.3","4.9","2596","-104.099998","20.200001"
"189693","occ","","","18900","Canis sp.","genus","41198","","Canis","genus","41198","Hemphillian","","10.3","4.9","2886","-114.300003","37.799999"
"192135","occ","30184","","19473","Canis ferox","species","44840","","Canis ferox","species","44840","Late Hemphillian","","10.3","4.9","52058","-107.000000","36.500000"
"192926","occ","8376","","19617","Canis edwardii","species","44838","","Canis edwardii","species","44838","Blancan","Irvingtonian","4.9","0.3","2673","-112.400002","35.700001"
"192927","occ","30222","","19617","Canis armbrusteri","species","44827","","Canis armbrusteri","species","44827","Blancan","Irvingtonian","4.9","0.3","52058","-112.400002","35.700001"
"192928","occ","","","19617","Canis latrans ?","species","44854","","Canis latrans","species","44854","Blancan","Irvingtonian","4.9","0.3","1813","-112.400002","35.700001"
"193271","occ","8462","","19656","Canis cf. latrans","species","44854","","Canis latrans","species","44854","Blancan","","4.9","1.8","6294","-109.599998","33.000000"
"193272","occ","30218","","19656","Canis n. sp. thooides","species","301914","","Canis thooides","species","301914","Blancan","","4.9","1.8","52058","-109.599998","33.000000"
"193288","occ","8467","","19657","Canis cf. latrans","species","44854","","Canis latrans","species","44854","Blancan","","4.9","1.8","6294","-109.599998","33.000000"
"193323","occ","8475","","19658","Canis cf. latrans","species","44854","","Canis latrans","species","44854","Blancan","","4.9","1.8","6294","-109.599998","33.000000"
"193373","occ","8495","","19668","Canis lepophagus","species","44856","","Canis lepophagus","species","44856","Blancan","","4.9","1.8","2673","-122.199997","40.000000"
"193775","occ","","","19758","Canis cf. lepophagus","species","44856","","Canis lepophagus","species","44856","Blancan","","4.9","1.8","3567","-82.599998","29.700001"
"193898","occ","","","19805","Canis lepophagus","species","44856","","Canis lepophagus","species","44856","Blancan","","4.9","1.8","1069","-114.900002","42.799999"
"193901","occ","","","19807","Canis lepophagus","species","44856","","Canis lepophagus","species","44856","Blancan","","4.9","1.8","1069","-114.900002","42.799999"
"193916","occ","","","19812","Canis lepophagus","species","44856","","Canis lepophagus","species","44856","Blancan","","4.9","1.8","1069","-114.900002","42.799999"
"193936","occ","","","19815","Canis lepophagus","species","44856","","Canis lepophagus","species","44856","Blancan","","4.9","1.8","1069","-114.900002","42.799999"
"193942","occ","","","19816","Canis lepophagus","species","44856","","Canis lepophagus","species","44856","Blancan","","4.9","1.8","1069","-114.900002","42.799999"
"193957","occ","","","19819","Canis lepophagus","species","44856","","Canis lepophagus","species","44856","Blancan","","4.9","1.8","1069","-114.900002","42.799999"
"193965","occ","","","19821","Canis lepophagus","species","44856","","Canis lepophagus","species","44856","Blancan","","4.9","1.8","1069","-114.900002","42.799999"
"193985","occ","30190","","19832","Canis ferox","species","44840","","Canis ferox","species","44840","Blancan","","4.9","1.8","52058","-114.900002","42.799999"
"193989","occ","30189","","19836","Canis ferox","species","44840","","Canis ferox","species","44840","Blancan","","4.9","1.8","52058","-114.900002","42.799999"
"193992","occ","","","19839","Canis lepophagus","species","44856","","Canis lepophagus","species","44856","Blancan","","4.9","1.8","1069","-114.900002","42.799999"
"194001","occ","","","19847","Canis lepophagus","species","44856","","Canis lepophagus","species","44856","Blancan","","4.9","1.8","1069","-114.900002","42.799999"
"194012","occ","","","19854","Canis lepophagus","species","44856","","Canis lepophagus","species","44856","Blancan","","4.9","1.8","1069","-114.900002","42.799999"
"194033","occ","30188","","19868","Canis ferox","species","44840","","Canis ferox","species","44840","Blancan","","4.9","1.8","52058","-114.900002","42.799999"
"194047","occ","","","19879","Canis lepophagus","species","44856","","Canis lepophagus","species","44856","Blancan","","4.9","1.8","1069","-114.900002","42.799999"
"194056","occ","","","19888","Canis lepophagus","species","44856","","Canis lepophagus","species","44856","Blancan","","4.9","1.8","1069","-114.900002","42.799999"
"194070","occ","","","19895","Canis lepophagus","species","44856","","Canis lepophagus","species","44856","Blancan","","4.9","1.8","1069","-114.900002","42.799999"
"194077","occ","30187","","19902","Canis ferox","species","44840","","Canis ferox","species","44840","Blancan","","4.9","1.8","52058","-114.900002","42.799999"
"194090","occ","","","19903","Canis lepophagus","species","44856","","Canis lepophagus","species","44856","Blancan","","4.9","1.8","1069","-114.900002","42.799999"
"194115","occ","30191","","19906","Canis ferox","species","44840","","Canis ferox","species","44840","Blancan","","4.9","1.8","52058","-114.900002","42.799999"
"194215","occ","","","19921","Canis sp.","genus","41198","","Canis","genus","41198","Blancan","","4.9","1.8","1814","-118.000000","43.000000"
"194251","occ","","","19927","Canis cf. latrans","species","44854","","Canis latrans","species","44854","Blancan","","4.9","1.8","24906","-100.300003","37.200001"
"194285","occ","8765","","19929","Canis lepophagus","species","44856","","Canis lepophagus","species","44856","Blancan","","4.9","1.8","2673","-100.300003","37.200001"
"194362","occ","","","19932","Canis lepophagus","species","44856","","Canis lepophagus","species","44856","Blancan","","4.9","1.8","1905","-100.300003","37.200001"
"194379","occ","","","19934","Canis lepophagus","species","44856","","Canis lepophagus","species","44856","Blancan","","4.9","1.8","1894","-100.300003","37.200001"
"194409","occ","30186","","19936","Canis ferox","species","44840","","Canis ferox","species","44840","Blancan","","4.9","1.8","52058","-100.300003","37.200001"
"194480","occ","","","19940","Canis lepophagus","species","44856","","Canis lepophagus","species","44856","Blancan","","4.9","1.8","1070","-100.483330","37.133331"
"194652","occ","","","19955","Canis cf. lepophagus","species","44856","","Canis lepophagus","species","44856","Blancan","","4.9","1.8","2673","-103.099998","41.700001"
"194677","occ","30192","","19959","Canis ferox","species","44840","","Canis ferox","species","44840","Blancan","","4.9","1.8","52058","-102.400002","41.400002"
"194686","occ","30193","","19960","Canis ferox","species","44840","","Canis ferox","species","44840","Blancan","","4.9","1.8","52058","-102.400002","41.400002"
"194695","occ","","","19962","Canis cf. lepophagus","species","44856","","Canis lepophagus","species","44856","Blancan","","4.9","1.8","3512","-103.800003","41.799999"
"194719","occ","","","19963","Canis lepophagus","species","44856","","Canis lepophagus","species","44856","Blancan","","4.9","1.8","2518","-100.000000","42.700001"
"194765","occ","","","19965","Canis lepophagus","species","44856","","Canis lepophagus","species","44856","Blancan","","4.9","1.8","2886","-114.300003","37.799999"
"194814","occ","","","19973","Canis cf. latrans","species","44854","","Canis latrans","species","44854","Blancan","","4.9","1.8","3378","-106.699997","32.000000"
"194838","occ","","","19981","Canis lepophagus","species","44856","","Canis lepophagus","species","44856","Blancan","","4.9","1.8","2618","-106.699997","32.000000"
"194983","occ","","","20023","Canis lepophagus","species","44856","","Canis lepophagus","species","44856","Blancan","","4.9","1.8","1309","-101.099998","33.700001"
"195063","occ","","","20033","Canis n. sp. lepophagus","species","44856","","Canis lepophagus","species","44856","Blancan","","4.9","1.8","2044","-101.633331","34.883331"
"195093","occ","","","20034","Canis lepophagus","species","44856","","Canis lepophagus","species","44856","Blancan","","4.9","1.8","2673","-102.500000","35.400002"
"195134","occ","30194","","20050","Canis lepophagus","species","44856","","Canis lepophagus","species","44856","Blancan","","4.9","1.8","52058","-105.199997","31.500000"
