it	l_0	l_1	l_2	l_3	l_4	l_5	l_6	l_7	l_8	l_9	l_10	l_11	l_12	l_13	l_14	l_15	l_16	l_17	l_18	l_19	l_20	l_21	l_22	m_0	m_1	m_2	m_3	m_4	m_5	m_6	m_7	m_8	m_9	m_10	m_11	m_12	m_13	m_14	m_15	m_16	m_17	m_18	m_19	m_20	m_21	m_22	r_0	r_1	r_2	r_3	r_4	r_5	r_6	r_7	r_8	r_9	r_10	r_11	r_12	r_13	r_14	r_15	r_16	r_17	r_18	r_19	r_20	r_21	r_22	
0	0.31868816709438497	0.31868816709438497	0.31868816709438497	0.31868816709438497	0.31868816709438497	0.31868816709438497	0.31868816709438497	0.31868816709438497	0.31868816709438497	0.31868816709438497	0.31868816709438497	0.31868816709438497	0.31868816709438497	0.31868816709438497	0.31868816709438497	0.31868816709438497	0.31868816709438497	0.31868816709438497	0.31868816709438497	0.31868816709438497	0.31868816709438497	0.31868816709438497	0.31868816709438497	0.31696564763155255	0.31696564763155255	0.31696564763155255	0.31696564763155255	0.31696564763155255	0.31696564763155255	0.31696564763155255	0.31696564763155255	0.31696564763155255	0.31696564763155255	0.31696564763155255	0.31696564763155255	0.31696564763155255	0.31696564763155255	0.31696564763155255	0.31696564763155255	0.31696564763155255	0.31696564763155255	0.31696564763155255	0.31696564763155255	0.31696564763155255	0.31696564763155255	0.31696564763155255	0.001722519462832417	0.001722519462832417	0.001722519462832417	0.001722519462832417	0.001722519462832417	0.001722519462832417	0.001722519462832417	0.001722519462832417	0.001722519462832417	0.001722519462832417	0.001722519462832417	0.001722519462832417	0.001722519462832417	0.001722519462832417	0.001722519462832417	0.001722519462832417	0.001722519462832417	0.001722519462832417	0.001722519462832417	0.001722519462832417	0.001722519462832417	0.001722519462832417	0.001722519462832417
1000	0.21196161854734316	0.21196161854734316	0.21196161854734316	0.21196161854734316	0.21196161854734316	0.21196161854734316	0.21196161854734316	0.21196161854734316	0.21196161854734316	0.21196161854734316	0.21196161854734316	0.21196161854734316	0.21196161854734316	0.21196161854734316	0.21196161854734316	0.21196161854734316	0.21196161854734316	0.21196161854734316	0.21196161854734316	0.21196161854734316	0.21196161854734316	0.21196161854734316	0.21196161854734316	0.069595627025287307	0.069595627025287307	0.069595627025287307	0.069595627025287307	0.069595627025287307	0.069595627025287307	0.069595627025287307	0.069595627025287307	0.069595627025287307	0.069595627025287307	0.069595627025287307	0.069595627025287307	0.069595627025287307	0.069595627025287307	0.069595627025287307	0.069595627025287307	0.069595627025287307	0.069595627025287307	0.069595627025287307	0.069595627025287307	0.069595627025287307	0.069595627025287307	0.069595627025287307	0.14236599152205587	0.14236599152205587	0.14236599152205587	0.14236599152205587	0.14236599152205587	0.14236599152205587	0.14236599152205587	0.14236599152205587	0.14236599152205587	0.14236599152205587	0.14236599152205587	0.14236599152205587	0.14236599152205587	0.14236599152205587	0.14236599152205587	0.14236599152205587	0.14236599152205587	0.14236599152205587	0.14236599152205587	0.14236599152205587	0.14236599152205587	0.14236599152205587	0.14236599152205587
2000	0.25060821316193671	0.25060821316193671	0.25060821316193671	0.25060821316193671	0.25060821316193671	0.25060821316193671	0.25060821316193671	0.25060821316193671	0.25060821316193671	0.25060821316193671	0.25060821316193671	0.25060821316193671	0.25060821316193671	0.25060821316193671	0.25060821316193671	0.25060821316193671	0.25060821316193671	0.25060821316193671	0.25060821316193671	0.25060821316193671	0.25060821316193671	0.25060821316193671	0.25060821316193671	0.045048629359394368	0.045048629359394368	0.045048629359394368	0.045048629359394368	0.045048629359394368	0.045048629359394368	0.045048629359394368	0.045048629359394368	0.045048629359394368	0.045048629359394368	0.045048629359394368	0.045048629359394368	0.045048629359394368	0.045048629359394368	0.045048629359394368	0.045048629359394368	0.045048629359394368	0.045048629359394368	0.045048629359394368	0.045048629359394368	0.045048629359394368	0.045048629359394368	0.045048629359394368	0.20555958380254236	0.20555958380254236	0.20555958380254236	0.20555958380254236	0.20555958380254236	0.20555958380254236	0.20555958380254236	0.20555958380254236	0.20555958380254236	0.20555958380254236	0.20555958380254236	0.20555958380254236	0.20555958380254236	0.20555958380254236	0.20555958380254236	0.20555958380254236	0.20555958380254236	0.20555958380254236	0.20555958380254236	0.20555958380254236	0.20555958380254236	0.20555958380254236	0.20555958380254236
3000	0.20006612673555971	0.20006612673555971	0.20006612673555971	0.20006612673555971	0.20006612673555971	0.20006612673555971	0.20006612673555971	0.20006612673555971	0.20006612673555971	0.20006612673555971	0.20006612673555971	0.20006612673555971	0.20006612673555971	0.20006612673555971	0.20006612673555971	0.20006612673555971	0.20006612673555971	0.20006612673555971	0.20006612673555971	0.20006612673555971	0.20006612673555971	0.20006612673555971	0.20006612673555971	0.027421724028750517	0.027421724028750517	0.027421724028750517	0.027421724028750517	0.027421724028750517	0.027421724028750517	0.027421724028750517	0.027421724028750517	0.027421724028750517	0.027421724028750517	0.027421724028750517	0.027421724028750517	0.027421724028750517	0.027421724028750517	0.027421724028750517	0.027421724028750517	0.027421724028750517	0.027421724028750517	0.027421724028750517	0.027421724028750517	0.027421724028750517	0.027421724028750517	0.027421724028750517	0.1726444027068092	0.1726444027068092	0.1726444027068092	0.1726444027068092	0.1726444027068092	0.1726444027068092	0.1726444027068092	0.1726444027068092	0.1726444027068092	0.1726444027068092	0.1726444027068092	0.1726444027068092	0.1726444027068092	0.1726444027068092	0.1726444027068092	0.1726444027068092	0.1726444027068092	0.1726444027068092	0.1726444027068092	0.1726444027068092	0.1726444027068092	0.1726444027068092	0.1726444027068092
4000	0.26125560830915373	0.26125560830915373	0.26125560830915373	0.26125560830915373	0.26125560830915373	0.26125560830915373	0.26125560830915373	0.26125560830915373	0.26125560830915373	0.26125560830915373	0.26125560830915373	0.26125560830915373	0.26125560830915373	0.29323449315068006	0.29323449315068006	0.29323449315068006	0.29323449315068006	0.29323449315068006	0.29323449315068006	0.29323449315068006	0.29323449315068006	0.29323449315068006	0.29323449315068006	0.025271659228203024	0.025271659228203024	0.025271659228203024	0.025271659228203024	0.025271659228203024	0.025271659228203024	0.025271659228203024	0.025271659228203024	0.025271659228203024	0.025271659228203024	0.025271659228203024	0.025271659228203024	0.025271659228203024	0.025271659228203024	0.025271659228203024	0.025271659228203024	0.025271659228203024	0.025271659228203024	0.025271659228203024	0.025271659228203024	0.025271659228203024	0.025271659228203024	0.025271659228203024	0.23598394908095072	0.23598394908095072	0.23598394908095072	0.23598394908095072	0.23598394908095072	0.23598394908095072	0.23598394908095072	0.23598394908095072	0.23598394908095072	0.23598394908095072	0.23598394908095072	0.23598394908095072	0.23598394908095072	0.26796283392247705	0.26796283392247705	0.26796283392247705	0.26796283392247705	0.26796283392247705	0.26796283392247705	0.26796283392247705	0.26796283392247705	0.26796283392247705	0.26796283392247705
5000	0.33196348170920909	0.33196348170920909	0.33196348170920909	0.33196348170920909	0.33196348170920909	0.33196348170920909	0.33196348170920909	0.33196348170920909	0.33196348170920909	0.33196348170920909	0.33196348170920909	0.33196348170920909	0.33196348170920909	0.33196348170920909	0.33196348170920909	0.33196348170920909	0.33196348170920909	0.33196348170920909	0.33196348170920909	0.33196348170920909	0.33196348170920909	0.33196348170920909	0.33196348170920909	0.040367716940006897	0.040367716940006897	0.040367716940006897	0.040367716940006897	0.040367716940006897	0.040367716940006897	0.040367716940006897	0.040367716940006897	0.040367716940006897	0.040367716940006897	0.040367716940006897	0.040367716940006897	0.040367716940006897	0.040367716940006897	0.040367716940006897	0.040367716940006897	0.040367716940006897	0.040367716940006897	0.040367716940006897	0.040367716940006897	0.040367716940006897	0.040367716940006897	0.040367716940006897	0.29159576476920218	0.29159576476920218	0.29159576476920218	0.29159576476920218	0.29159576476920218	0.29159576476920218	0.29159576476920218	0.29159576476920218	0.29159576476920218	0.29159576476920218	0.29159576476920218	0.29159576476920218	0.29159576476920218	0.29159576476920218	0.29159576476920218	0.29159576476920218	0.29159576476920218	0.29159576476920218	0.29159576476920218	0.29159576476920218	0.29159576476920218	0.29159576476920218	0.29159576476920218
6000	0.23547432316068548	0.23547432316068548	0.23547432316068548	0.23547432316068548	0.23547432316068548	0.23547432316068548	0.23547432316068548	0.23547432316068548	0.23547432316068548	0.23547432316068548	0.23547432316068548	0.23547432316068548	0.23547432316068548	0.23547432316068548	0.23547432316068548	0.23547432316068548	0.23547432316068548	0.23547432316068548	0.23547432316068548	0.23547432316068548	0.23547432316068548	0.23547432316068548	0.23547432316068548	0.029396582266770353	0.029396582266770353	0.029396582266770353	0.029396582266770353	0.029396582266770353	0.029396582266770353	0.029396582266770353	0.029396582266770353	0.029396582266770353	0.029396582266770353	0.029396582266770353	0.029396582266770353	0.029396582266770353	0.029396582266770353	0.029396582266770353	0.029396582266770353	0.029396582266770353	0.029396582266770353	0.029396582266770353	0.029396582266770353	0.029396582266770353	0.029396582266770353	0.029396582266770353	0.20607774089391512	0.20607774089391512	0.20607774089391512	0.20607774089391512	0.20607774089391512	0.20607774089391512	0.20607774089391512	0.20607774089391512	0.20607774089391512	0.20607774089391512	0.20607774089391512	0.20607774089391512	0.20607774089391512	0.20607774089391512	0.20607774089391512	0.20607774089391512	0.20607774089391512	0.20607774089391512	0.20607774089391512	0.20607774089391512	0.20607774089391512	0.20607774089391512	0.20607774089391512
7000	0.21961764989403354	0.21961764989403354	0.21961764989403354	0.21961764989403354	0.21961764989403354	0.21961764989403354	0.21961764989403354	0.21961764989403354	0.21961764989403354	0.21961764989403354	0.21961764989403354	0.21961764989403354	0.25320272806359057	0.25320272806359057	0.25320272806359057	0.25320272806359057	0.25320272806359057	0.25320272806359057	0.25320272806359057	0.25320272806359057	0.25320272806359057	0.25320272806359057	0.25320272806359057	0.043138070984551045	0.043138070984551045	0.043138070984551045	0.043138070984551045	0.043138070984551045	0.043138070984551045	0.043138070984551045	0.043138070984551045	0.043138070984551045	0.043138070984551045	0.043138070984551045	0.043138070984551045	0.043138070984551045	0.043138070984551045	0.043138070984551045	0.043138070984551045	0.043138070984551045	0.043138070984551045	0.043138070984551045	0.043138070984551045	0.043138070984551045	0.043138070984551045	0.043138070984551045	0.17647957890948249	0.17647957890948249	0.17647957890948249	0.17647957890948249	0.17647957890948249	0.17647957890948249	0.17647957890948249	0.17647957890948249	0.17647957890948249	0.17647957890948249	0.17647957890948249	0.17647957890948249	0.21006465707903951	0.21006465707903951	0.21006465707903951	0.21006465707903951	0.21006465707903951	0.21006465707903951	0.21006465707903951	0.21006465707903951	0.21006465707903951	0.21006465707903951	0.21006465707903951
8000	0.21930953238199669	0.21930953238199669	0.21930953238199669	0.21930953238199669	0.21930953238199669	0.21930953238199669	0.21930953238199669	0.21930953238199669	0.21930953238199669	0.21930953238199669	0.21930953238199669	0.21930953238199669	0.21930953238199669	0.21930953238199669	0.21930953238199669	0.21930953238199669	0.21930953238199669	0.21930953238199669	0.21930953238199669	0.21930953238199669	0.21930953238199669	0.21930953238199669	0.21930953238199669	0.039414192367282747	0.039414192367282747	0.039414192367282747	0.039414192367282747	0.039414192367282747	0.039414192367282747	0.039414192367282747	0.039414192367282747	0.039414192367282747	0.039414192367282747	0.039414192367282747	0.039414192367282747	0.039414192367282747	0.039414192367282747	0.039414192367282747	0.039414192367282747	0.039414192367282747	0.039414192367282747	0.039414192367282747	0.039414192367282747	0.039414192367282747	0.039414192367282747	0.039414192367282747	0.17989534001471394	0.17989534001471394	0.17989534001471394	0.17989534001471394	0.17989534001471394	0.17989534001471394	0.17989534001471394	0.17989534001471394	0.17989534001471394	0.17989534001471394	0.17989534001471394	0.17989534001471394	0.17989534001471394	0.17989534001471394	0.17989534001471394	0.17989534001471394	0.17989534001471394	0.17989534001471394	0.17989534001471394	0.17989534001471394	0.17989534001471394	0.17989534001471394	0.17989534001471394
9000	0.23012019992234456	0.23012019992234456	0.23012019992234456	0.23012019992234456	0.23012019992234456	0.23012019992234456	0.23012019992234456	0.24659691393361019	0.24659691393361019	0.24659691393361019	0.24659691393361019	0.24659691393361019	0.24659691393361019	0.24659691393361019	0.24659691393361019	0.24659691393361019	0.24659691393361019	0.24659691393361019	0.24659691393361019	0.24659691393361019	0.24659691393361019	0.24659691393361019	0.24659691393361019	0.046307838963258019	0.046307838963258019	0.046307838963258019	0.046307838963258019	0.046307838963258019	0.046307838963258019	0.046307838963258019	0.046307838963258019	0.046307838963258019	0.046307838963258019	0.046307838963258019	0.046307838963258019	0.046307838963258019	0.046307838963258019	0.046307838963258019	0.046307838963258019	0.046307838963258019	0.046307838963258019	0.046307838963258019	0.046307838963258019	0.046307838963258019	0.046307838963258019	0.046307838963258019	0.18381236095908654	0.18381236095908654	0.18381236095908654	0.18381236095908654	0.18381236095908654	0.18381236095908654	0.18381236095908654	0.20028907497035217	0.20028907497035217	0.20028907497035217	0.20028907497035217	0.20028907497035217	0.20028907497035217	0.20028907497035217	0.20028907497035217	0.20028907497035217	0.20028907497035217	0.20028907497035217	0.20028907497035217	0.20028907497035217	0.20028907497035217	0.20028907497035217	0.20028907497035217
