it	posterior	prior	PP_lik	BD_lik	q_rate	alpha	k_birth	k_death	root_age	death_age	tot_length	Canis_TS	Canis_adustus_TS	Canis_anthus_TS	Canis_apolloniensis_TS	Canis_armbrusteri_TS	Canis_aureus_TS	Canis_cedazoensis_TS	Canis_dirus_TS	Canis_edwardii_TS	Canis_familiaris_TS	Canis_ferox_TS	Canis_latrans_TS	Canis_lepophagus_TS	Canis_lupus_TS	Canis_mesomelas_TS	Canis_proplatensis_TS	Canis_(Pseudalopex)_TS	Canis_rufus_TS	Canis_thooides_TS	Pseudalopex_gymnocercus_TS	Canis_TE	Canis_adustus_TE	Canis_anthus_TE	Canis_apolloniensis_TE	Canis_armbrusteri_TE	Canis_aureus_TE	Canis_cedazoensis_TE	Canis_dirus_TE	Canis_edwardii_TE	Canis_familiaris_TE	Canis_ferox_TE	Canis_latrans_TE	Canis_lepophagus_TE	Canis_lupus_TE	Canis_mesomelas_TE	Canis_proplatensis_TE	Canis_(Pseudalopex)_TE	Canis_rufus_TE	Canis_thooides_TE	Pseudalopex_gymnocercus_TE
0	-2436.9925753788407	-8.5170352653680066	-2343.2930434053183	-85.182496708154304	0.81677209594096756	1.0	1	1	23.697861712604894	0.0	92.605072087951996	13.99767265	3.398622225	1.0753192999999999	1.700469875	1.5996795749999999	3.0908352249999997	1.2862755750000001	2.4323362749999999	23.697861712604894	1.9928429249999999	9.0029673403655579	4.205202925	5.0718588750000002	3.519133525	5.5367907849815383	2.0153088750000001	1.2993996749999999	4.1376933500000002	4.3796784249999998	1.085738425	0.0011943749999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9170011250000001	0.0	0.0	0.0	0.0024199499999999997
1000	-1811.4317306643607	-9.384521900591368	-1735.3871769197544	-66.660031844014838	2.294504777200153	1.0	1	1	22.689772349406223	0.0	98.160748273038308	13.6705766300154	3.5966708500058417	1.5012876099417638	1.9900473353485002	1.9443127969801945	3.0426573384099291	1.4133485802249888	3.8015094024309657	22.689772349406223	2.0865418940258511	9.8134076955357692	4.295092411975892	5.1158695796502043	3.5611847217336838	6.0349095007943658	2.1125231252152337	1.4621574475098078	4.3138473552836603	5.9130219264860564	1.2960397527980931	0.0011943749999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4926572695185651	0.0	0.0	0.0	0.00017838621553510018
2000	-1498.882101950456	-11.882076086770196	-1422.1564040048449	-64.843621858840834	4.8628900922850971	1.0	1	1	22.817496033684321	0.0	94.252154623119225	13.679341324579216	4.001051079161404	1.0541681379354084	2.0510970942297648	1.6841482600017499	3.102845145551731	1.3434765713003523	2.4839284986748771	22.817496033684321	2.0820676370521189	8.9110018802568121	4.2152068139487984	5.2965138830062015	3.8641768514643582	5.6310386640192176	2.3238955390416303	1.548592848894109	4.1564200491168126	4.2817429673084986	1.4137474942632207	0.0011943749999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6884293891558371	0.0	0.0	0.0	0.00017838621553510018
3000	-1419.9587779395695	-15.118790245611656	-1340.8610544848855	-63.978933209072238	8.0372060666575713	1.0	1	1	22.795082562374745	0.0	92.345711098576714	13.727307722819358	3.3343212614503779	1.1051698369199194	1.7562968491770694	1.8137843954001882	3.1382201337334754	1.3591069582359534	2.4029323564400764	22.795082562374745	2.2293462883115245	8.8588253936217569	4.2164968987821911	5.2142173779114911	3.5136414466450918	5.3211421693073202	2.1479210427566406	1.3725190391246953	4.3375300257484355	4.2888222502191464	1.2133183017516909	0.0011943749999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7989184509388974	0.0	0.0	0.0	0.00017838621553510018
4000	-1420.4601717885341	-17.038151255268648	-1339.110674124611	-64.311346408654344	7.5517025492710683	1.0	2	1	22.688749813267822	0.0	91.738977314061856	13.69698032780928	3.423000211819379	1.0531984963848404	1.7020213172694121	1.8155035003655433	3.0972174017553193	1.6671479844338124	2.5838905726267236	22.688749813267822	2.0454240844774749	8.8860885057628298	4.2049888100095831	4.993269177505355	3.6012751682564943	5.3012954343237162	2.0243591825868834	1.3216004215381765	4.0769315714671697	4.3315037476311886	1.0915306677260004	0.0011943749999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8656263217396098	0.0	0.0	0.0	0.00017838621553510018
5000	-1427.9084812489202	-14.453005154708233	-1347.1318332032836	-66.32364289092834	7.3191937731740362	1.0	1	1	22.958775495056628	0.0	93.035077640444314	13.706044700032505	3.3494053309544771	1.0495480066892857	1.7276598754324124	1.9006565807795202	3.5047504179610263	1.3441665280289854	2.4653051756946107	22.958775495056628	2.01660868277318	9.5585423288088105	4.1737377494017158	4.9587078229139943	3.5555998078177464	5.4905926135716809	2.0197258665157238	1.3389787682116472	4.088116464821165	4.5446319195835621	1.2298889220910723	0.0011943749999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9449926554799037	0.0	0.0	0.0	0.00017838621553510018
6000	-1419.959481514042	-14.552763309986769	-1341.4273083810015	-63.979409823053629	7.4769219441501704	1.0	1	1	22.71079551828408	0.0	92.406189907434609	13.697758054194363	3.425828225951066	1.4312767800533337	1.7140656213800423	1.6958831533128849	3.0540792668605805	1.2677228599083428	2.4314785787083464	22.71079551828408	1.9853020528940668	8.988345990755727	4.1805074540011722	5.0898691898854294	3.4683963200172805	5.2570042923233196	1.9947202917134095	1.5733862827387335	4.1548238880495925	4.968119967518227	1.2376359895354359	0.0011943749999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9194371094352771	0.0	0.0	0.0	0.00017838621553510018
7000	-1419.1060513849886	-16.771951472431656	-1338.3135070001392	-64.020592912417669	7.3888260575954297	1.0	2	1	22.695995786574247	0.0	91.858194191011108	13.710975442975723	3.3173167974694397	1.0713588430131407	1.7168051857540474	1.676266844574126	3.1586459606173793	1.8869780851061244	2.496931358701334	22.695995786574247	1.9985445681218106	8.8779405256282953	4.10312475937444	5.0444987044774408	3.4562615865446396	5.2647109585219098	2.0884742578581994	1.4207297288989351	4.062970741677594	4.4735343238587308	1.2415968208100645	0.0011943749999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9040943283309759	0.0	0.0	0.0	0.00017838621553510018
8000	-1419.5292573509332	-14.903185291455086	-1340.7103590559682	-63.915713003510064	7.8398838914016302	1.0	1	1	22.797892466837578	0.0	92.258264824187293	13.684196085215381	3.4463385162265707	1.1117986354499116	1.7576823041943208	1.8905258695800025	3.3014430348405828	1.3793799873445138	2.3819983794910584	22.797892466837578	1.9595087358798273	8.9387852909960834	4.1238579292344371	5.1780416529974786	3.5379767238950985	5.245343609227759	2.051162810991201	1.3122524347031885	4.0733959186906574	4.7954681306065225	1.1726132277689207	0.0011943749999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8800241587682471	0.0	0.0	0.0	0.00017838621553510018
9000	-1422.7881972255154	-17.246475798777233	-1341.2058992863199	-64.335822140418259	7.5773336534200677	1.0	2	1	22.704137610356465	0.0	92.337232926302619	13.689819295576079	3.3637939026798471	1.1059223713540405	1.7346691357034059	1.6463870747699862	3.0284092198699262	1.4486722896611539	2.6085008388006901	22.704137610356465	2.0471754718390898	8.8890727113076977	4.1516843505643433	5.2927969299847897	3.5099652520717459	5.6342854885918658	2.1017871009592151	1.428030543107913	4.0446633674186465	4.3024946668839368	1.5135162357611298	0.0011943749999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9071781697438053	0.0	0.0	0.0	0.00017838621553510018
