it	l_0	l_1	l_2	l_3	l_4	l_5	l_6	l_7	l_8	l_9	l_10	l_11	l_12	l_13	l_14	l_15	l_16	l_17	l_18	l_19	l_20	l_21	l_22	m_0	m_1	m_2	m_3	m_4	m_5	m_6	m_7	m_8	m_9	m_10	m_11	m_12	m_13	m_14	m_15	m_16	m_17	m_18	m_19	m_20	m_21	m_22	r_0	r_1	r_2	r_3	r_4	r_5	r_6	r_7	r_8	r_9	r_10	r_11	r_12	r_13	r_14	r_15	r_16	r_17	r_18	r_19	r_20	r_21	r_22	
0	0.31077875447212711	0.31077875447212711	0.31077875447212711	0.31077875447212711	0.31077875447212711	0.31077875447212711	0.31077875447212711	0.31077875447212711	0.31077875447212711	0.31077875447212711	0.31077875447212711	0.31077875447212711	0.31077875447212711	0.31077875447212711	0.31077875447212711	0.31077875447212711	0.31077875447212711	0.31077875447212711	0.31077875447212711	0.31077875447212711	0.31077875447212711	0.31077875447212711	0.31077875447212711	0.38747039308568143	0.38747039308568143	0.38747039308568143	0.38747039308568143	0.38747039308568143	0.38747039308568143	0.38747039308568143	0.38747039308568143	0.38747039308568143	0.38747039308568143	0.38747039308568143	0.38747039308568143	0.38747039308568143	0.38747039308568143	0.38747039308568143	0.38747039308568143	0.38747039308568143	0.38747039308568143	0.38747039308568143	0.38747039308568143	0.38747039308568143	0.38747039308568143	0.38747039308568143	-0.076691638613554325	-0.076691638613554325	-0.076691638613554325	-0.076691638613554325	-0.076691638613554325	-0.076691638613554325	-0.076691638613554325	-0.076691638613554325	-0.076691638613554325	-0.076691638613554325	-0.076691638613554325	-0.076691638613554325	-0.076691638613554325	-0.076691638613554325	-0.076691638613554325	-0.076691638613554325	-0.076691638613554325	-0.076691638613554325	-0.076691638613554325	-0.076691638613554325	-0.076691638613554325	-0.076691638613554325	-0.076691638613554325
1000	0.15959713218268318	0.15959713218268318	0.15959713218268318	0.15959713218268318	0.15959713218268318	0.15959713218268318	0.15959713218268318	0.15959713218268318	0.15959713218268318	0.15959713218268318	0.15959713218268318	0.15959713218268318	0.15959713218268318	0.15959713218268318	0.15959713218268318	0.15959713218268318	0.15959713218268318	0.15959713218268318	0.15959713218268318	0.15959713218268318	0.15959713218268318	0.15959713218268318	0.15959713218268318	0.044671223330920128	0.044671223330920128	0.044671223330920128	0.044671223330920128	0.044671223330920128	0.044671223330920128	0.044671223330920128	0.044671223330920128	0.044671223330920128	0.044671223330920128	0.044671223330920128	0.044671223330920128	0.044671223330920128	0.044671223330920128	0.044671223330920128	0.044671223330920128	0.044671223330920128	0.044671223330920128	0.044671223330920128	0.044671223330920128	0.044671223330920128	0.044671223330920128	0.044671223330920128	0.11492590885176304	0.11492590885176304	0.11492590885176304	0.11492590885176304	0.11492590885176304	0.11492590885176304	0.11492590885176304	0.11492590885176304	0.11492590885176304	0.11492590885176304	0.11492590885176304	0.11492590885176304	0.11492590885176304	0.11492590885176304	0.11492590885176304	0.11492590885176304	0.11492590885176304	0.11492590885176304	0.11492590885176304	0.11492590885176304	0.11492590885176304	0.11492590885176304	0.11492590885176304
2000	0.17422674904228308	0.17422674904228308	0.17422674904228308	0.17422674904228308	0.17422674904228308	0.17422674904228308	0.17422674904228308	0.17422674904228308	0.17422674904228308	0.17422674904228308	0.17422674904228308	0.17422674904228308	0.17422674904228308	0.17422674904228308	0.17422674904228308	0.17422674904228308	0.17422674904228308	0.17422674904228308	0.17422674904228308	0.17422674904228308	0.17422674904228308	0.17422674904228308	0.17422674904228308	0.059477860910302924	0.059477860910302924	0.059477860910302924	0.059477860910302924	0.059477860910302924	0.059477860910302924	0.059477860910302924	0.059477860910302924	0.059477860910302924	0.059477860910302924	0.059477860910302924	0.059477860910302924	0.059477860910302924	0.059477860910302924	0.059477860910302924	0.059477860910302924	0.059477860910302924	0.059477860910302924	0.059477860910302924	0.059477860910302924	0.059477860910302924	0.059477860910302924	0.059477860910302924	0.11474888813198016	0.11474888813198016	0.11474888813198016	0.11474888813198016	0.11474888813198016	0.11474888813198016	0.11474888813198016	0.11474888813198016	0.11474888813198016	0.11474888813198016	0.11474888813198016	0.11474888813198016	0.11474888813198016	0.11474888813198016	0.11474888813198016	0.11474888813198016	0.11474888813198016	0.11474888813198016	0.11474888813198016	0.11474888813198016	0.11474888813198016	0.11474888813198016	0.11474888813198016
3000	0.18053715002236967	0.18053715002236967	0.18053715002236967	0.18053715002236967	0.18053715002236967	0.18053715002236967	0.18053715002236967	0.18053715002236967	0.18053715002236967	0.18053715002236967	0.18053715002236967	0.18053715002236967	0.18053715002236967	0.18053715002236967	0.18053715002236967	0.18053715002236967	0.18053715002236967	0.18053715002236967	0.18053715002236967	0.18053715002236967	0.18053715002236967	0.18053715002236967	0.18053715002236967	0.039018816631055067	0.039018816631055067	0.039018816631055067	0.039018816631055067	0.039018816631055067	0.039018816631055067	0.039018816631055067	0.039018816631055067	0.039018816631055067	0.039018816631055067	0.039018816631055067	0.039018816631055067	0.039018816631055067	0.039018816631055067	0.039018816631055067	0.039018816631055067	0.039018816631055067	0.039018816631055067	0.039018816631055067	0.039018816631055067	0.039018816631055067	0.039018816631055067	0.039018816631055067	0.14151833339131459	0.14151833339131459	0.14151833339131459	0.14151833339131459	0.14151833339131459	0.14151833339131459	0.14151833339131459	0.14151833339131459	0.14151833339131459	0.14151833339131459	0.14151833339131459	0.14151833339131459	0.14151833339131459	0.14151833339131459	0.14151833339131459	0.14151833339131459	0.14151833339131459	0.14151833339131459	0.14151833339131459	0.14151833339131459	0.14151833339131459	0.14151833339131459	0.14151833339131459
4000	0.16220642240164235	0.16220642240164235	0.16220642240164235	0.16220642240164235	0.16220642240164235	0.16220642240164235	0.16220642240164235	0.16220642240164235	0.16220642240164235	0.16220642240164235	0.16220642240164235	0.16220642240164235	0.16220642240164235	0.16220642240164235	0.16220642240164235	0.16220642240164235	0.16220642240164235	0.16220642240164235	0.16220642240164235	0.16220642240164235	0.16220642240164235	0.16220642240164235	0.16220642240164235	0.024731743598062877	0.024731743598062877	0.024731743598062877	0.024731743598062877	0.024731743598062877	0.024731743598062877	0.024731743598062877	0.024731743598062877	0.024731743598062877	0.024731743598062877	0.024731743598062877	0.024731743598062877	0.024731743598062877	0.024731743598062877	0.024731743598062877	0.024731743598062877	0.024731743598062877	0.024731743598062877	0.024731743598062877	0.024731743598062877	0.024731743598062877	0.024731743598062877	0.024731743598062877	0.13747467880357947	0.13747467880357947	0.13747467880357947	0.13747467880357947	0.13747467880357947	0.13747467880357947	0.13747467880357947	0.13747467880357947	0.13747467880357947	0.13747467880357947	0.13747467880357947	0.13747467880357947	0.13747467880357947	0.13747467880357947	0.13747467880357947	0.13747467880357947	0.13747467880357947	0.13747467880357947	0.13747467880357947	0.13747467880357947	0.13747467880357947	0.13747467880357947	0.13747467880357947
5000	0.17510344739687581	0.17510344739687581	0.17510344739687581	0.17510344739687581	0.17510344739687581	0.17510344739687581	0.17510344739687581	0.17510344739687581	0.17510344739687581	0.17510344739687581	0.17510344739687581	0.17510344739687581	0.17510344739687581	0.17510344739687581	0.17510344739687581	0.17510344739687581	0.17510344739687581	0.17510344739687581	0.17510344739687581	0.17510344739687581	0.17510344739687581	0.17510344739687581	0.17510344739687581	0.082196842633950232	0.082196842633950232	0.082196842633950232	0.082196842633950232	0.082196842633950232	0.082196842633950232	0.082196842633950232	0.082196842633950232	0.082196842633950232	0.082196842633950232	0.082196842633950232	0.082196842633950232	0.082196842633950232	0.082196842633950232	0.082196842633950232	0.082196842633950232	0.082196842633950232	0.082196842633950232	0.082196842633950232	0.082196842633950232	0.082196842633950232	0.082196842633950232	0.082196842633950232	0.092906604762925574	0.092906604762925574	0.092906604762925574	0.092906604762925574	0.092906604762925574	0.092906604762925574	0.092906604762925574	0.092906604762925574	0.092906604762925574	0.092906604762925574	0.092906604762925574	0.092906604762925574	0.092906604762925574	0.092906604762925574	0.092906604762925574	0.092906604762925574	0.092906604762925574	0.092906604762925574	0.092906604762925574	0.092906604762925574	0.092906604762925574	0.092906604762925574	0.092906604762925574
6000	0.15254846453315896	0.15254846453315896	0.15254846453315896	0.15254846453315896	0.15254846453315896	0.15254846453315896	0.15254846453315896	0.15254846453315896	0.15254846453315896	0.15254846453315896	0.15254846453315896	0.15254846453315896	0.15254846453315896	0.15254846453315896	0.15254846453315896	0.15254846453315896	0.15254846453315896	0.15254846453315896	0.15254846453315896	0.15254846453315896	0.15254846453315896	0.15254846453315896	0.15254846453315896	0.02167903361313675	0.02167903361313675	0.02167903361313675	0.02167903361313675	0.02167903361313675	0.02167903361313675	0.02167903361313675	0.02167903361313675	0.02167903361313675	0.02167903361313675	0.02167903361313675	0.02167903361313675	0.02167903361313675	0.02167903361313675	0.02167903361313675	0.02167903361313675	0.02167903361313675	0.02167903361313675	0.02167903361313675	0.02167903361313675	0.02167903361313675	0.02167903361313675	0.02167903361313675	0.13086943092002221	0.13086943092002221	0.13086943092002221	0.13086943092002221	0.13086943092002221	0.13086943092002221	0.13086943092002221	0.13086943092002221	0.13086943092002221	0.13086943092002221	0.13086943092002221	0.13086943092002221	0.13086943092002221	0.13086943092002221	0.13086943092002221	0.13086943092002221	0.13086943092002221	0.13086943092002221	0.13086943092002221	0.13086943092002221	0.13086943092002221	0.13086943092002221	0.13086943092002221
7000	0.2356387347722807	0.2356387347722807	0.2356387347722807	0.2356387347722807	0.2356387347722807	0.2356387347722807	0.2356387347722807	0.2356387347722807	0.2356387347722807	0.2356387347722807	0.2356387347722807	0.2356387347722807	0.2356387347722807	0.2356387347722807	0.2356387347722807	0.2356387347722807	0.2356387347722807	0.2356387347722807	0.2356387347722807	0.2356387347722807	0.2356387347722807	0.2356387347722807	0.2356387347722807	0.030177948268715737	0.030177948268715737	0.030177948268715737	0.030177948268715737	0.030177948268715737	0.030177948268715737	0.030177948268715737	0.030177948268715737	0.030177948268715737	0.030177948268715737	0.030177948268715737	0.030177948268715737	0.030177948268715737	0.030177948268715737	0.030177948268715737	0.030177948268715737	0.030177948268715737	0.030177948268715737	0.030177948268715737	0.030177948268715737	0.030177948268715737	0.030177948268715737	0.030177948268715737	0.20546078650356497	0.20546078650356497	0.20546078650356497	0.20546078650356497	0.20546078650356497	0.20546078650356497	0.20546078650356497	0.20546078650356497	0.20546078650356497	0.20546078650356497	0.20546078650356497	0.20546078650356497	0.20546078650356497	0.20546078650356497	0.20546078650356497	0.20546078650356497	0.20546078650356497	0.20546078650356497	0.20546078650356497	0.20546078650356497	0.20546078650356497	0.20546078650356497	0.20546078650356497
8000	0.3496843386427711	0.3496843386427711	0.3496843386427711	0.3496843386427711	0.3496843386427711	0.3496843386427711	0.3496843386427711	0.3496843386427711	0.3496843386427711	0.3496843386427711	0.3496843386427711	0.3496843386427711	0.3496843386427711	0.3496843386427711	0.3496843386427711	0.3496843386427711	0.3496843386427711	0.3496843386427711	0.3496843386427711	0.3496843386427711	0.3496843386427711	0.3496843386427711	0.3496843386427711	0.05403807463824143	0.05403807463824143	0.05403807463824143	0.05403807463824143	0.05403807463824143	0.05403807463824143	0.05403807463824143	0.05403807463824143	0.05403807463824143	0.05403807463824143	0.05403807463824143	0.05403807463824143	0.05403807463824143	0.05403807463824143	0.05403807463824143	0.05403807463824143	0.05403807463824143	0.05403807463824143	0.05403807463824143	0.05403807463824143	0.05403807463824143	0.05403807463824143	0.05403807463824143	0.29564626400452965	0.29564626400452965	0.29564626400452965	0.29564626400452965	0.29564626400452965	0.29564626400452965	0.29564626400452965	0.29564626400452965	0.29564626400452965	0.29564626400452965	0.29564626400452965	0.29564626400452965	0.29564626400452965	0.29564626400452965	0.29564626400452965	0.29564626400452965	0.29564626400452965	0.29564626400452965	0.29564626400452965	0.29564626400452965	0.29564626400452965	0.29564626400452965	0.29564626400452965
9000	0.25513128714329042	0.25513128714329042	0.25513128714329042	0.25513128714329042	0.25513128714329042	0.25513128714329042	0.25513128714329042	0.25513128714329042	0.25513128714329042	0.25513128714329042	0.25513128714329042	0.25513128714329042	0.25513128714329042	0.25513128714329042	0.25513128714329042	0.25513128714329042	0.25513128714329042	0.25513128714329042	0.25513128714329042	0.25513128714329042	0.25513128714329042	0.25513128714329042	0.25513128714329042	0.014446006084224831	0.014446006084224831	0.014446006084224831	0.014446006084224831	0.014446006084224831	0.014446006084224831	0.014446006084224831	0.014446006084224831	0.014446006084224831	0.014446006084224831	0.014446006084224831	0.014446006084224831	0.014446006084224831	0.014446006084224831	0.014446006084224831	0.014446006084224831	0.014446006084224831	0.014446006084224831	0.014446006084224831	0.014446006084224831	0.014446006084224831	0.014446006084224831	0.014446006084224831	0.24068528105906559	0.24068528105906559	0.24068528105906559	0.24068528105906559	0.24068528105906559	0.24068528105906559	0.24068528105906559	0.24068528105906559	0.24068528105906559	0.24068528105906559	0.24068528105906559	0.24068528105906559	0.24068528105906559	0.24068528105906559	0.24068528105906559	0.24068528105906559	0.24068528105906559	0.24068528105906559	0.24068528105906559	0.24068528105906559	0.24068528105906559	0.24068528105906559	0.24068528105906559
