it	posterior	prior	PP_lik	BD_lik	q_rate	alpha	k_birth	k_death	root_age	death_age	tot_length	Canis_TS	Canis_adustus_TS	Canis_anthus_TS	Canis_apolloniensis_TS	Canis_armbrusteri_TS	Canis_aureus_TS	Canis_cedazoensis_TS	Canis_dirus_TS	Canis_edwardii_TS	Canis_familiaris_TS	Canis_ferox_TS	Canis_latrans_TS	Canis_lepophagus_TS	Canis_lupus_TS	Canis_mesomelas_TS	Canis_proplatensis_TS	Canis_(Pseudalopex)_TS	Canis_rufus_TS	Canis_thooides_TS	Pseudalopex_gymnocercus_TS	Canis_TE	Canis_adustus_TE	Canis_anthus_TE	Canis_apolloniensis_TE	Canis_armbrusteri_TE	Canis_aureus_TE	Canis_cedazoensis_TE	Canis_dirus_TE	Canis_edwardii_TE	Canis_familiaris_TE	Canis_ferox_TE	Canis_latrans_TE	Canis_lepophagus_TE	Canis_lupus_TE	Canis_mesomelas_TE	Canis_proplatensis_TE	Canis_(Pseudalopex)_TE	Canis_rufus_TE	Canis_thooides_TE	Pseudalopex_gymnocercus_TE
0	-3107.6883813825357	-8.4797802919049534	-3007.7997589917645	-91.408842098865989	0.30183893647929694	1.0	1	1	23.247757475	0.0	93.363542805809786	13.99767265	3.398622225	1.0753192999999999	2.1132428569989137	1.5996795749999999	3.0908352249999997	1.7225118607427801	2.4323362749999999	23.247757475	1.9928429249999999	9.0765697500000009	4.4788106706290582	5.0718588750000002	3.5973763937034313	5.3734722999999995	2.0153088750000001	1.2993996749999999	4.1376933500000002	4.3796784249999998	1.1831695737355923	0.0011943749999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9170011250000001	0.0	0.0	0.0	0.0024199499999999997
1000	-2735.892381940117	-8.2406375936831395	-2658.653263351805	-68.998480994629062	0.51033435775097469	1.0	1	1	24.490744631016774	0.0	112.45575656893641	13.899642218358402	3.6173017110299068	1.3312750464171779	2.3012035615073509	3.4067103047729219	3.8871699412135925	2.9179192473973123	2.4225238912804312	24.490744631016774	3.5504470233697023	10.229568655830397	5.1815611782674598	8.6246811302767057	6.211265113543404	5.7773779840350894	2.6143889889693637	1.80393863199219	5.0477793434330742	4.667154749482803	1.3861440000166501	0.0011943749999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.90979655734426679	0.0	0.0	0.0	0.0020498509300587676
2000	-2125.4137551399235	-8.5799297419271952	-2049.6625170753687	-67.171308322627738	1.2689384477105501	1.0	1	1	23.703284022996741	0.0	101.6535425183291	13.88582329995128	3.8232615897419402	1.2332103703328501	1.7817265037676713	3.6650013935569032	3.1434852583118702	1.4671973481084986	2.4333003568623335	23.703284022996741	2.100947593139332	9.1478673013588914	4.2559709462258439	7.9408415397950813	3.9009155559923414	6.1227618980227367	2.0327325673874945	1.4798900498914405	5.2589018816800079	4.4759093190042698	1.726618033029788	3.0081996462465871e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9240243779016879	0.0	0.0	0.0	0.0020498509300587676
3000	-1652.5332978305808	-10.058309862799522	-1577.3915163292797	-65.083471638501578	3.0223889778376676	1.0	1	1	22.807017676021033	0.0	96.175768047355618	13.765475081487599	3.3412593749481316	1.3797943899311755	1.7074378087853705	2.3397512048919022	3.1602235932499432	1.6490096347429903	2.4144665008293478	22.807017676021033	2.1733493222547207	8.9944985289184736	4.1124132198607182	5.0025564731408529	4.6866675156948805	5.5563492131455838	1.9681417866687378	1.606213984240306	5.2126499706600731	4.837393721204835	1.4269228849345414	3.0081996462465871e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9637439053290797	0.0	0.0	0.0	0.0020498509300587676
4000	-1570.7550463455743	-10.803099049355442	-1494.4299243214298	-65.522022974789024	3.7698100435220772	1.0	1	1	23.09487686230872	0.0	96.53089803441101	13.846782578005742	3.3756271768174115	1.1950669684394666	1.7512817872386153	2.2378169385290798	3.0413648372013165	1.6826697809744458	2.9891375029641232	23.09487686230872	2.2902051527357301	9.0518385380129516	4.5703587719043313	5.2067951943673787	3.4993895744294043	5.6258033400529452	2.0890268595814319	2.4006544709463578	4.7465679679145127	4.5818675076883206	1.2088726987860936	3.0081996462465871e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9548591608941197	0.0	0.0	0.0	0.00021723159677051063
5000	-1404.2075401748396	-14.304366632183168	-1323.7039357215401	-66.199237821116185	7.3155865789069709	1.0	1	1	22.703861151317593	0.0	92.715618853253062	13.730643120729312	3.3337556478434984	1.1208507761401774	1.7233695297671288	1.9389646455632401	3.3808090889101061	1.2838375092317231	2.4846148175639242	22.703861151317593	1.996855557397097	9.2042192704852805	4.2265168125932533	5.0489045541697077	3.6478678490976444	5.3497902156041715	2.0024453826311213	1.7048505921726951	4.1535607501425877	4.4138411054349387	1.1981580317407849	3.0081996462465871e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.931850241689685	0.0	0.0	0.0	0.00021723159677051063
6000	-1404.9769998500697	-14.39412610785665	-1325.3008183904651	-65.282055351747886	7.3463411531662999	1.0	1	1	22.756945682380071	0.0	92.880675120107441	13.77040972712858	3.4722830429989462	1.2005513582504834	1.9212616301876937	1.7299823910527681	3.164433660294363	1.3244502216008467	2.4753068625404033	22.756945682380071	2.0116126495628635	9.1466028794052754	4.3534221460243145	5.0509321015786934	3.5664396125491398	5.3212626310117059	2.090603924030431	1.3119438438880922	4.0467881664574863	4.5043379018917111	1.4513867541049039	3.0081996462465871e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7900347532381065	0.0	0.0	0.0	0.00021723159677051063
7000	-1400.834289416772	-14.515867616364224	-1322.3304298728488	-63.987991927559051	7.4373688485752307	1.0	1	1	22.838112154878914	0.0	92.458274551252771	13.758431753167258	3.3320472076040826	1.0918476597423803	1.7077503782446524	1.677611579474112	3.0558566728989005	1.4076638004397326	2.5196740979563899	22.838112154878914	2.2475448060742629	9.1670441683503778	4.1043111685721509	5.2358350203176069	3.6977935031020159	5.3581568926676786	2.0477429890356693	1.415216163354537	4.2715341939875051	4.2900882014016553	1.1665024848519285	3.0081996462465871e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9322430312758152	0.0	0.0	0.0	0.00021723159677051063
8000	-1399.7749630683013	-14.564788765246716	-1318.3988248705466	-66.811349432507996	7.430778037577805	1.0	1	1	22.878082339645818	0.0	91.752799964128911	13.755248020580341	3.4241009340643176	1.0538035386546638	1.7359433138715792	1.590876242045989	3.0233022697233971	1.3705455965215199	2.5184920385225462	22.878082339645818	2.1985855056727099	8.8562886337779414	4.2342137482776225	5.0454233002705164	3.4768222835946085	5.2737100670296622	1.9841916389971608	1.4275173702749526	4.0652893622902049	4.6472132029047044	1.1467609506020966	3.0081996462465871e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9517918489221033	0.0	0.0	0.0	0.0017884622748834357
9000	-1406.3776363701586	-14.756523084262533	-1326.5405571796139	-65.080556106282302	7.6039910125661256	1.0	1	1	22.806154135700687	0.0	92.919561645543013	13.743461231200769	3.3614845917554299	1.0975052908293135	1.7582642397430526	1.5957227330062045	3.0212528477282179	1.7754144922613964	2.4099808530631557	22.806154135700687	1.9627752428041907	9.038995390660471	4.2019654203412031	4.97392324783576	3.5171159865306425	5.5608109989919257	2.0839730445484297	1.4528844227817315	4.7606329903208326	4.316138458856404	1.3821022241031207	3.0081996462465871e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8991776532485756	0.0	0.0	0.0	0.0017884622748834357
